posting_hash , posting_string, ngram_size, doc_count
84d6525ecb78d3fa, wallis, 1, 1
4b6fd2a0318099f8, eisenhower, 1, 1
9684dfaaeabad88, skirmishes, 1, 1
9c86ce6731e14fc7, hagerstown, 1, 1
8a95d78463b7f53f, custer's, 1, 1
15216cf836533c4a, bogged, 1, 1
2c85305b07db97f3, 6203688, 1, 1
b8514232b2090fb7, 1,149, 1, 1
544070f2cea59db5, 6203686, 1, 1
3f67a54cce9d854a, 1,550, 1, 1
f7cd0a18dba86045, 6203683, 1, 1
dbadaaa42cea9846, 2,605, 1, 1
d01d660b5436183d, Category:Swedish Tour de France stage winners, 1, 1
4c89e14a331bb1a8, 6203681, 1, 1
3d19142ddad6f792, category:swedish, 1, 1
50e06d81ca143b49, 6203680, 1, 1
6749a447f5392b61, State Route 78 (Arizona–New Mexico), 1, 1
620945665b2ba5e4, terminating, 1, 1
1030baf3e0c2634e, mogollon, 1, 1
9ae4064a53d50842, 6203678, 1, 1
8c2b55ebd8fec39b, 917, 1, 1
3c435f74eac7b1fd, Spur Independent School District, 1, 1
aec9e7636d0e78ec, mcadoo, 1, 1
cacd964692ec1446, hail, 1, 1
a2f11b8046125444, judson, 1, 1
9be440935f674733, converse, 1, 1
cf5c483ec17b0c66, 6203672, 1, 1
e1f5ce92b3da3484, 13,231, 1, 1
8337bdafdf0b8933, occupies, 1, 1
b762deeccfbfa799, 395.8, 1, 1
9ae2a9be1ed815ae, 6203669, 1, 1
6de92413cd4cdbfa, Bratton Downs, 1, 1
11f69059f8717de8, Hopewell Township, Mercer County, Ohio, 1, 1
ff23b1a20c6bd8e0, 6203667, 1, 1
b1c7d1e51030dc83, hopewell, 1, 1
b9afc30d6ea59f54, 1,869, 1, 1
2be22e5418ced204, 997, 1, 1
c9c4cc2508364f6a, 6203665, 1, 1
ed794a10f271473b, 6203660, 1, 1
e0938c7c1d9aa870, 5,662, 1, 1
556baef44f139e9, 6203654, 1, 1
cbb87eda67687b5a, Franklin Township, Mercer County, Ohio, 1, 1
582be303a219cd1e, 6203647, 1, 1
3edf5a30032fdc15, 1262, 1, 1
36bf76f7d3bbb73b, kaliningrad, 1, 2
9bbf232364b6be6e, teutonic, 1, 1
a00cebae46b3d2c5, 1525, 1, 1
f4eaa92f8062611b, guryevsky, 1, 1
570a698045e45fa2, carell, 1, 1
3ed11ebcce944e88, stepan, 1, 1
cb99af6c562231f3, guryev, 1, 1
ac54180e9345425c, mumisa, 1, 1
fd33381bcb61c98b, comedians, 1, 1
c57bb9165af338fc, talib, 1, 1
d81f7d69d1f5f8b4, organizers, 1, 1
1ba2d77b2d6f75c, masika, 1, 1
4f0dfa100a791ee3, mecca2medina, 1, 1
505d14aeb1999aa0, ghetto, 1, 1
18a86b480a4ed72c, ismael, 1, 1
bde0819e451f9551, rhythms, 1, 1
863a3ea2cf8f389b, malaysian, 1, 1
dde768d391afc3e9, hakim, 1, 1
3b0fb2c75858cfc4, 6203638, 1, 1
930866b6eb55ec63, imran, 1, 1
6b449c7a54588ff8, nepleken, 1, 1
5101fab8a40e0cdc, kazi, 1, 1
557990d521e8fe17, ba'biker, 1, 1
4b04d47f8b038fe9, qualifications, 1, 1
50f1f5e606a9e49, disaffected, 1, 1
10b385f05e3db08d, sheikh, 1, 1
